"Time" "Ping Local" "Ping LocalApp-CorpApp" "Ping LocalApp-CorpDB" "Load Average LocalApp" "Load Average LocalDB" "Load Average CORPApp" "TNS ping LocalApp-LocalDB" "TNS ping LocalApp-CorpDB" "Class0" "Class1" "Class2" "Class3"
12:0 0.412 68.3 55.2 0.21 0.03 0.39 0 120  1 0 0 0
12:1 0.474 67.4 54.9 0.22 0.09 0.92 0 120  1 0 0 0
12:2 0.422 66.7 55.4 0.47 0.02 0.81 0 130  1 0 0 0
12:3 0.586 66.4 55.3 0.88 0.20 0.47 0 130  1 0 0 0
12:4 0.489 74.4 55.2 0.30 0.12 0.46 0 130  1 0 0 0
12:5 0.383 67.4 56.5 1.26 0.12 0.55 0 120  1 0 0 0
12:6 0.434 66.7 56.4 0.20 0.05 0.24 0 130  1 0 0 0
12:7 0.304 65.1 56.9 0.53 0.03 1.98 0 120  1 0 0 0
12:8 0.363 66.1 56.6 0.58 0.09 0.64 0 130  1 0 0 0
12:9 0.398 65.6 56.1 0.25 0.08 0.47 0 120  1 0 0 0
12:10 0.454 65.5 56.2 0.19 0.02 0.30 0 120  1 0 0 0
12:11 0.405 65.9 56.6 0.72 0.24 0.46 0 120  1 0 0 0
12:12 0.359 66.4 56.8 0.34 0.02 0.44 10 120  1 0 0 0
12:13 0.330 65.2 59.2 0.57 0.14 0.82 0 130  1 0 0 0
12:14 0.402 65.6 57.0 0.16 0.15 0.26 0 130  1 0 0 0
12:15 0.425 66.5 56.5 0.12 0.00 0.43 0 130  1 0 0 0
12:16 0.390 64.9 56.6 0.14 0.17 0.46 0 120  1 0 0 0
12:17 0.456 65.7 93.4 0.27 0.20 0.46 10 130  1 0 0 0
12:18 0.397 65.6 56.8 0.44 0.07 0.37 0 120  1 0 0 0
12:19 0.397 67.5 56.3 0.21 0.05 0.79 0 120  1 0 0 0
12:20 0.337 65.0 101 0.10 0.06 1.02 0 130  1 0 0 0
12:21 0.374 65.1 56.8 0.45 0.05 0.61 0 130  1 0 0 0
12:22 0.461 64.7 56.5 0.21 0.05 0.41 0 130  1 0 0 0
12:23 0.382 64.8 56.4 0.24 0.11 0.79 0 130  1 0 0 0
12:24 0.480 65.6 56.4 0.13 0.24 0.84 0 130  1 0 0 0
12:25 0.302 65.4 56.3 0.84 0.02 1.32 0 120  1 0 0 0
12:26 0.535 65.8 56.5 0.51 0.00 0.66 0 130  1 0 0 0
12:27 0.454 65.8 56.5 0.37 0.03 0.60 0 130  1 0 0 0
12:28 0.437 74.7 56.3 0.47 0.08 0.22 0 130  1 0 0 0
12:29 0.493 66.1 59.9 0.54 0.21 0.31 0 160  1 0 0 0
12:30 0.351 65.9 56.3 0.80 0.08 0.19 0 130  1 0 0 0
12:31 0.412 65.2 56.7 0.62 0.13 0.63 0 120  1 0 0 0
12:32 0.365 764 56.5 0.35 0.19 0.39 0 130  1 0 0 0
12:33 0.553 68.4 56.6 0.51 0.23 0.44 10 130  1 0 0 0
12:34 0.521 65.3 56.5 1.18 0.10 0.24 0 130  1 0 0 0
12:35 0.380 77.9 56.5 0.37 0.21 0.36 0 130  1 0 0 0
12:36 0.416 64.8 56.8 0.83 0.09 0.12 10 130  1 0 0 0
12:37 0.364 65.3 56.5 0.48 0.27 0.50 0 130  1 0 0 0
12:38 0.455 65.3 56.8 1.25 0.17 0.48 0 130  1 0 0 0
12:39 0.383 64.7 56.7 0.13 0.05 0.53 0 130  1 0 0 0
12:40 0.365 66.4 57.8 1.03 0.17 0.65 10 130  1 0 0 0
12:41 0.499 63.3 53.3 0.42 0.40 0.34 0 120  1 0 0 0
12:42 0.435 63.0 53.4 0.77 0.34 0.62 0 130  1 0 0 0
12:43 0.525 62.9 53.2 0.47 0.13 0.68 0 120  1 0 0 0
12:44 0.466 64.1 53.4 0.36 0.27 0.68 0 120  1 0 0 0
12:45 0.439 64.5 53.2 0.83 0.36 0.47 0 120  1 0 0 0
12:46 0.377 63.3 53.1 0.23 0.16 0.13 0 120  1 0 0 0
12:47 0.442 64.1 53.3 0.95 0.18 0.39 0 120  1 0 0 0
12:48 0.458 62.6 53.1 0.01 0.07 0.11 0 120  1 0 0 0
12:49 0.412 63.7 53.5 0.23 0.18 0.50 0 120  1 0 0 0
12:50 0.428 66.7 53.1 0.30 0.24 1.72 0 120  1 0 0 0
12:51 0.433 65.1 53.1 0.27 0.10 0.30 0 120  1 0 0 0
12:52 0.432 63.0 53.3 0.13 0.25 0.10 0 130  1 0 0 0
12:53 0.476 63.3 53.5 0.41 1.36 0.44 0 110  1 0 0 0
12:54 0.537 65.1 53.5 0.76 0.35 0.72 10 120  1 0 0 0
12:55 0.425 62.9 52.9 0.58 0.26 0.43 0 120  1 0 0 0
12:56 0.504 63.4 53.1 0.14 0.26 0.65 0 120  1 0 0 0
12:57 0.546 64.0 52.8 0.11 0.38 0.82 0 120  1 0 0 0
12:58 0.337 63.6 53.1 0.15 0.18 0.82 0 120  1 0 0 0
12:59 0.363 64.3 52.8 1.48 0.31 0.32 0 120  1 0 0 0
13:0 0.406 62.9 53.1 0.15 0.09 0.31 0 120  1 0 0 0
13:1 0.507 63.4 53.6 0.43 0.00 0.54 0 120  1 0 0 0
13:2 0.479 63.2 53.0 0.03 0.05 0.57 0 120  1 0 0 0
13:3 0.458 64.1 53.5 0.15 0.02 0.59 0 120  1 0 0 0
13:4 0.414 63.1 53.2 0.25 0.00 0.49 10 120  1 0 0 0
13:5 0.411 63.4 53.3 0.38 0.06 0.49 10 120  1 0 0 0
13:6 0.489 64.4 53.4 0.01 0.11 0.40 0 120  1 0 0 0
13:7 0.381 101 54.8 0.03 0.00 0.84 0 120  1 0 0 0
13:8 0.349 63.4 52.7 0.00 0.00 1.70 0 9999999999 0 0 1 0
13:9 0.457 64.3 55.9 0.07 0.02 0.08 10 9999999999 0 0 1 0
13:10 0.361 64.7 56.2 0.00 0.06 0.00 9999999999 9999999999 0 0 1 0
13:11 2.22 65.4 56.3 0.00 0.00 0.00 9999999999 9999999999 0 0 1 0
13:12 0.377 64.3 55.9 0.00 0.00 0.08 9999999999 9999999999 0 0 1 0
13:13 1.50 61.5 56.0 0.09 0.00 0.00 9999999999 9999999999 0 0 1 0
13:14 0.376 61.3 56.1 0.00 0.01 0.00 9999999999 9999999999 0 0 1 0
13:15 2.32 61.6 56.2 0.17 0.05 0.00 9999999999 9999999999 0 0 1 0
13:16 2.76 61.3 93.4 0.06 0.00 0.00 9999999999 9999999999 0 0 1 0
13:17 0.597 61.5 56.1 0.00 0.00 0.00 9999999999 9999999999 0 0 1 0
13:18 2.27 61.5 56.1 0.08 0.01 0.08 9999999999 9999999999 0 0 1 0
13:19 0.502 61.2 56.3 0.00 0.01 0.00 9999999999 9999999999 0 0 1 0
13:20 1.49 60.8 56.0 0.02 0.01 0.09 9999999999 9999999999 0 0 1 0
13:21 0.551 60.9 56.4 0.00 0.03 0.00 9999999999 9999999999 0 0 1 0
13:22 1.75 60.9 56.3 0.03 0.00 0.08 9999999999 9999999999 0 0 1 0
13:23 0.591 61.0 56.4 0.00 0.17 0.00 9999999999 9999999999 0 0 1 0
13:24 2.18 61.5 55.9 0.05 0.12 0.00 9999999999 9999999999 0 0 1 0
13:25 0.459 61.0 56.0 0.00 0.14 0.00 9999999999 9999999999 0 0 1 0
13:26 1.94 61.1 56.2 0.04 0.00 0.00 9999999999 9999999999 0 0 1 0
13:27 0.412 61.3 56.2 0.00 0.01 0.00 9999999999 9999999999 0 0 1 0
13:28 2.47 61.6 58.5 0.07 0.04 0.35 9999999999 9999999999 0 0 1 0
13:29 0.442 61.2 56.1 0.00 0.01 0.05 9999999999 9999999999 0 0 1 0
13:30 1.70 65.4 56.2 0.08 0.00 0.08 9999999999 130 0 0 0 1
13:31 0.352 64.2 56.1 0.00 0.00 0.00 9999999999 120 0 0 0 1
13:32 2.56 65.2 55.8 0.06 0.00 0.00 9999999999 130 0 0 0 1
13:33 0.367 64.4 56.0 0.00 3.68 1.25 9999999999 120 0 0 0 1
13:34 0.349 63.4 52.7 0.00 0.00 1.70 0 9999999999 0 0 1 0
13:35 0.457 64.3 55.9 0.07 0.02 0.08 10 9999999999 0 0 1 0
13:36 0.361 64.7 56.2 0.00 0.06 0.00 9999999999 9999999999 0 0 1 0
13:37 2.22 65.4 56.3 0.00 0.00 0.00 9999999999 9999999999 0 0 1 0
13:38 0.377 64.3 55.9 0.00 0.00 0.08 9999999999 9999999999 0 0 1 0
13:39 1.50 61.5 56.0 0.09 0.00 0.00 9999999999 9999999999 0 0 1 0
13:40 0.376 61.3 56.1 0.00 0.01 0.00 9999999999 9999999999 0 0 1 0
13:41 2.32 61.6 56.2 0.17 0.05 0.00 9999999999 9999999999 0 0 1 0
13:42 2.76 61.3 93.4 0.06 0.00 0.00 9999999999 9999999999 0 0 1 0
13:43 0.597 61.5 56.1 0.00 0.00 0.00 9999999999 9999999999 0 0 1 0
13:44 2.27 61.5 56.1 0.08 0.01 0.08 9999999999 9999999999 0 0 1 0
13:45 0.502 61.2 56.3 0.00 0.01 0.00 9999999999 9999999999 0 0 1 0
13:46 1.49 60.8 56.0 0.02 0.01 0.09 9999999999 9999999999 0 0 1 0
13:47 0.551 60.9 56.4 0.00 0.03 0.00 9999999999 9999999999 0 0 1 0
13:48 1.75 60.9 56.3 0.03 0.00 0.08 9999999999 9999999999 0 0 1 0
13:49 0.591 61.0 56.4 0.00 0.17 0.00 9999999999 9999999999 0 0 1 0
13:50 2.18 61.5 55.9 0.05 0.12 0.00 9999999999 9999999999 0 0 1 0
13:51 0.459 61.0 56.0 0.00 0.14 0.00 9999999999 9999999999 0 0 1 0
13:52 1.94 61.1 56.2 0.04 0.00 0.00 9999999999 9999999999 0 0 1 0
13:53 0.412 61.3 56.2 0.00 0.01 0.00 9999999999 9999999999 0 0 1 0
13:54 2.47 61.6 58.5 0.07 0.04 0.35 9999999999 9999999999 0 0 1 0
13:55 0.442 61.2 56.1 0.00 0.01 0.05 9999999999 9999999999 0 0 1 0
13:56 1.70 65.4 56.2 0.08 0.00 0.08 9999999999 130 0 0 0 1
13:57 0.352 64.2 56.1 0.00 0.00 0.00 9999999999 120 0 0 0 1
13:58 2.56 65.2 55.8 0.06 0.00 0.00 9999999999 130 0 0 0 1
13:59 0.367 64.4 56.0 0.00 3.68 1.25 9999999999 120 0 0 0 1
14:0 0.349 63.4 52.7 0.00 0.00 1.70 0 9999999999 0 0 1 0
14:1 0.457 64.3 55.9 0.07 0.02 0.08 10 9999999999 0 0 1 0
14:2 0.361 64.7 56.2 0.00 0.06 0.00 9999999999 9999999999 0 0 1 0
14:3 2.22 65.4 56.3 0.00 0.00 0.00 9999999999 9999999999 0 0 1 0
14:4 0.377 64.3 55.9 0.00 0.00 0.08 9999999999 9999999999 0 0 1 0
14:5 1.50 61.5 56.0 0.09 0.00 0.00 9999999999 9999999999 0 0 1 0
