"Ping Local" "Ping LocalApp-CorpApp" "Ping LocalApp-CorpDB" "Load Average LocalApp" "Load Average LocalDB" "Load Average CORPApp" "TNS ping LocalApp-LocalDB" "TNS ping LocalApp-CorpDB" "Class"
0.370 66.8 58.1 0.08 0.07 0.17 620 130 0
0.457 67.0 57.7 0.03 0.25 0.16 0 130 0
0.350 66.9 57.9 0.01 0.09 0.15 150 130 0
0.458 66.8 57.6 0.00 0.14 0.14 0 130 0
0.509 67.9 57.7 0.00 0.16 0.12 20 130 0
0.562 66.6 58.2 0.00 0.09 0.13 0 130 0
0.350 66.9 57.9 0.27 0.07 0.14 10 130 0
0.449 66.7 58.0 0.22 0.10 0.13 0 130 0
0.329 66.7 58.1 0.16 0.13 0.12 0 130 0
0.432 67.4 58.2 0.09 0.10 0.11 0 130 0
0.379 67.0 57.9 0.03 0.10 0.17 420 130 0
0.459 66.9 57.7 0.01 0.09 0.16 290 130 0
0.338 67.3 58.1 0.00 0.08 0.15 0 140 0
0.343 66.7 57.9 0.00 0.12 0.14 10 130 0
0.402 68.2 57.7 0.00 0.04 0.13 170 130 0
0.507 66.7 57.6 0.00 0.19 0.14 0 130 0
0.391 68.3 57.8 0.22 0.07 0.25 0 130 0
0.415 67.1 58.1 0.11 0.26 0.23 0 130 0
0.407 66.7 57.7 0.08 0.09 0.21 0 130 0
0.371 66.6 57.9 0.11 0.10 0.20 0 120 0
0.390 71.5 58.1 0.04 0.07 0.18 0 130 0
0.351 67.4 57.7 0.01 0.02 0.20 190 130 0
0.380 68.9 58.0 0.00 0.10 0.18 0 130 0
0.426 67.5 57.8 0.00 0.07 0.17 70 130 0
0.363 67.0 58.0 0.00 0.02 0.16 0 130 0
0.405 67.1 57.7 0.00 0.10 0.16 0 130 0
0.409 67.0 58.7 0.10 0.90 0.45 0 130 0
0.450 67.9 58.0 0.03 0.41 0.47 0 130 0
0.445 68.1 58.1 0.17 0.22 0.48 350 130 0
0.312 67.8 58.3 0.21 0.37 0.45 0 130 0
0.424 67.4 58.0 0.11 0.14 0.42 10 130 0
0.524 67.9 57.6 0.04 0.09 0.45 110 130 0
0.364 66.9 58.1 0.01 0.07 0.45 0 130 0
0.347 66.4 58.1 0.00 0.13 0.42 0 130 0
0.377 67.2 58.2 0.00 0.15 0.39 0 130 0
0.520 68.0 57.9 0.00 0.09 0.38 0 130 0
0.355 66.5 58.2 0.11 0.13 0.64 10 130 0
0.433 67.2 57.9 0.13 0.05 0.61 0 130 0
0.413 68.9 57.9 0.17 0.05 0.57 0 130 0
0.436 66.6 57.7 0.18 0.20 0.53 10 130 0
0.555 66.7 57.8 0.06 0.26 0.51 20 130 0
0.407 66.8 58.2 0.02 0.09 0.74 0 130 0
0.324 67.0 57.6 0.01 0.03 0.72 0 130 0
0.347 66.7 57.8 0.00 0.04 0.68 210 130 0
0.349 66.7 57.8 0.00 0.01 0.74 0 120 0
0.398 66.9 58.0 0.00 0.06 0.73 10 130 0
0.591 67.8 57.6 0.07 0.13 0.93 0 140 0
0.445 67.4 57.8 0.09 0.32 0.89 10 150 0
0.390 66.7 58.0 0.14 0.12 0.84 40 130 0
0.476 66.8 58.0 0.05 0.04 0.80 0 130 0
0.468 66.9 57.8 0.02 0.01 0.76 10 130 0
0.427 67.0 58.1 0.00 0.04 0.84 0 130 0
0.441 67.9 57.8 0.08 0.12 0.81 0 130 0
0.310 66.7 57.7 0.03 0.04 0.76 0 130 0
0.421 67.6 57.8 0.01 0.01 0.71 0 130 0
0.346 66.7 57.9 0.00 0.00 0.68 0 130 0
0.461 67.0 58.0 0.51 0.00 0.79 0 130 0
0.393 66.7 58.2 0.50 0.07 0.76 0 130 0
0.619 67.2 58.0 0.32 0.14 0.71 0 130 0
0.375 67.1 58.0 0.17 0.16 0.67 0 130 0
0.391 66.7 57.9 0.30 0.20 0.64 0 130 0
0.298 66.5 58.0 0.11 0.15 0.64 0 130 0
0.470 67.1 57.4 0.04 0.11 0.65 0 130 0
0.379 68.1 57.9 0.01 0.19 0.61 0 130 0
0.517 66.9 58.2 0.05 0.07 0.57 0 130 0
0.463 67.0 57.8 0.07 0.06 0.55 0 120 0
0.501 67.0 58.4 0.13 0.08 0.66 0 130 0
0.452 67.1 58.1 0.16 0.13 0.67 0 130 0
0.546 81.8 58.1 0.27 0.30 0.63 0 130 0
0.414 66.6 57.7 0.14 0.15 0.58 0 130 0
0.504 66.7 57.7 0.05 0.12 0.55 0 130 0
0.468 66.8 58.1 0.10 0.17 0.54 0 130 0
0.360 66.6 57.9 0.03 0.15 0.56 0 130 0
0.465 66.9 57.7 0.24 0.10 0.52 10 130 0
0.351 66.9 57.7 0.09 0.16 0.49 0 130 0
0.477 67.0 57.5 0.06 0.06 0.48 10 130 0
0.534 67.3 58.2 0.14 0.09 0.65 0 130 0
0.498 67.4 58.2 0.26 0.30 0.68 30 130 0
0.413 67.2 57.6 0.13 0.18 0.66 0 130 0
0.531 66.8 58.1 0.21 0.10 0.62 0 130 0
0.429 70.5 58.1 0.07 0.04 0.59 10 130 0
0.630 67.3 58.1 0.02 0.01 0.58 0 130 0
0.420 66.7 58.0 0.04 0.14 0.62 0 130 0
0.410 67.0 57.9 0.01 0.05 0.59 0 130 0
0.540 67.4 58.1 0.00 0.06 0.55 0 130 0
0.423 67.2 57.7 0.03 0.02 0.53 0 140 0
0.440 66.9 58.3 1.50 0.39 0.66 0 130 0
0.496 67.0 58.0 1.87 0.39 0.65 0 130 0
0.396 67.5 70.8 1.64 0.31 0.62 10 150 0
0.490 66.9 73.0 1.36 0.23 0.58 0 180 0
0.463 66.9 85.5 1.89 0.30 0.57 10 130 0
0.330 67.4 58.1 1.86 0.43 0.57 0 130 0
0.310 67.0 58.0 1.68 0.27 0.62 0 130 0
0.462 66.7 57.8 1.33 0.22 0.59 10 130 0
0.486 66.8 57.7 1.63 0.14 0.56 0 130 0
0.491 68.2 57.6 1.31 0.17 0.55 0 130 0
0.456 67.2 58.1 1.28 0.46 0.71 0 130 0
0.388 68.6 58.2 1.85 0.42 0.75 0 130 0
0.386 67.6 58.3 1.62 0.20 0.73 0 130 0
0.363 66.6 58.1 1.54 0.07 0.69 10 130 0
0.685 67.0 57.7 2.16 0.12 0.66 0 130 0
0.420 67.1 57.4 1.26 0.20 0.76 0 130 0
0.303 67.4 58.1 0.87 0.22 0.82 0 130 0
0.313 67.6 57.9 1.04 0.26 0.80 0 130 0
0.288 67.2 57.9 1.03 0.20 0.76 0 130 0
0.358 66.8 57.7 1.03 0.23 0.71 0 130 0
0.402 66.7 57.8 1.68 0.28 0.86 0 130 0
0.400 67.1 57.6 1.57 0.21 0.83 10 130 0
0.404 67.0 58.1 1.73 0.20 0.81 0 120 0
0.479 67.8 57.7 1.50 0.20 0.77 0 130 0
0.446 67.5 57.8 1.36 0.26 0.74 0 130 0
0.420 67.2 57.8 1.27 0.09 0.73 0 130 0
0.408 68.3 57.9 1.31 0.24 0.73 0 130 0
0.286 69.4 58.0 0.97 0.29 0.69 0 120 0
0.421 66.5 58.0 0.89 0.31 0.64 10 130 0
0.323 67.8 57.7 0.85 0.27 0.62 0 130 0
0.427 67.0 58.1 1.60 0.39 0.84 0 130 0
0.294 66.7 58.3 1.37 0.20 0.81 0 130 0
0.509 67.2 58.2 1.31 0.13 0.82 10 130 0
0.327 66.8 58.1 1.24 0.24 0.77 0 130 0
0.540 66.8 58.0 1.00 0.27 0.74 0 130 0
0.328 66.8 58.1 0.85 0.16 0.71 0 130 0
0.388 68.1 58.0 1.13 0.14 0.70 10 130 0
0.340 67.4 57.8 1.11 0.05 0.70 0 130 0
0.429 66.9 58.0 0.82 0.10 0.66 0 130 0
0.415 69.6 58.2 0.30 0.04 0.62 0 140 0
0.467 70.7 57.9 0.36 0.05 0.80 10 130 0
0.358 66.9 58.1 0.17 0.05 0.78 0 130 0
0.259 66.9 58.0 0.38 0.02 0.80 0 120 0
0.425 67.0 57.7 0.23 0.04 0.75 0 130 0
0.426 66.4 58.2 0.08 0.01 0.71 10 130 0
0.353 68.6 57.6 0.17 0.13 0.71 0 130 0
0.440 66.6 58.0 0.30 0.17 0.69 0 130 0
0.266 66.7 59.8 0.23 0.26 0.68 0 140 0
0.363 68.9 57.8 0.48 0.28 0.64 0 130 0
0.317 67.1 57.5 0.19 0.16 0.60 0 130 0
0.376 68.2 57.9 0.30 0.14 0.69 0 130 0
0.449 67.0 57.8 0.23 0.11 0.67 0 130 0
0.409 67.0 58.2 0.22 0.14 0.68 0 130 0
0.401 66.9 57.6 0.20 0.19 0.64 0 130 0
0.394 68.8 57.8 0.19 0.07 0.61 0 150 0
0.427 67.5 57.7 0.07 0.02 0.65 0 130 0
0.351 67.4 57.9 0.02 0.14 0.66 0 130 0
0.524 153 57.8 0.10 0.05 0.66 0 130 0
0.377 66.8 58.1 0.04 0.02 0.64 0 130 0
0.426 69.6 57.7 0.24 0.04 0.62 0 130 0
0.435 152 57.9 1.07 0.29 0.84 0 130 0
0.445 66.9 57.9 0.56 0.14 0.83 0 130 0
0.296 67.2 58.3 0.56 0.17 0.86 10 130 0
0.332 66.8 57.7 0.44 0.22 0.81 0 130 0
0.406 68.0 58.1 0.16 0.08 0.79 0 130 0
0.305 67.0 58.1 0.12 0.03 0.81 0 130 0
0.338 67.4 57.9 0.07 0.01 0.80 0 130 0
0.408 70.6 57.8 0.17 0.04 0.81 0 130 0
0.343 67.2 57.7 0.11 0.06 0.77 0 130 0
0.530 72.1 58.1 0.11 0.06 0.72 10 130 0
0.336 67.1 58.8 0.43 0.02 0.90 0 130 0
0.473 69.7 58.1 0.15 0.04 0.88 0 130 0
0.312 67.5 58.1 0.30 0.09 0.90 0 130 0
0.433 67.2 58.1 0.11 0.03 0.85 0 130 0
0.530 66.9 58.2 0.15 0.07 0.81 10 130 0
0.355 67.5 57.9 0.16 0.18 0.87 0 130 0
0.414 66.8 57.6 0.22 0.06 0.84 0 130 0
0.413 70.3 57.9 0.23 0.21 0.86 0 130 0
0.482 67.8 58.0 0.23 0.08 0.83 0 130 0
0.385 67.1 58.0 0.19 0.08 0.78 0 130 0
0.400 68.0 58.1 0.31 0.11 0.89 0 130 0
0.377 67.2 58.1 0.72 0.21 0.87 0 130 0
0.463 67.1 57.8 0.72 0.26 0.89 0 130 0
0.410 66.6 57.8 0.50 0.09 0.83 0 130 0
0.376 68.6 58.4 0.56 0.16 0.80 0 140 0
0.360 69.7 57.9 0.77 0.10 0.82 0 130 0
0.357 66.8 58.2 0.48 0.08 0.80 10 130 0
0.516 69.1 57.9 0.98 0.10 0.82 0 130 0
0.252 67.8 57.8 0.68 0.19 0.78 0 130 0
0.432 66.8 57.8 0.48 0.10 0.72 0 130 0
0.404 66.9 57.9 0.97 0.11 0.93 0 130 0
0.464 67.1 58.4 0.74 0.14 0.88 10 130 0
1.04 85.4 58.2 1.03 0.11 0.94 0 130 0
0.286 97.7 58.0 0.59 0.04 0.89 10 130 0
0.385 100 57.7 0.98 0.18 0.88 10 130 0
0.380 67.3 58.1 0.70 0.12 0.89 10 130 0
0.359 67.0 57.5 0.36 0.19 0.87 0 130 0
0.412 71.8 58.1 0.58 0.11 0.83 0 130 0
0.348 71.1 58.1 1.04 0.11 0.84 10 130 0
0.329 68.4 58.0 1.20 0.14 0.79 0 130 0
0.365 69.6 57.8 1.80 0.14 0.98 10 130 0
0.342 67.6 57.9 1.18 0.28 0.97 0 130 0
0.467 68.4 58.2 2.17 0.39 0.95 0 130 0
0.408 73.6 58.3 1.83 0.45 0.94 10 130 0
0.293 71.9 57.8 2.02 0.33 0.90 10 130 0
0.296 68.1 58.1 2.23 0.36 0.92 0 130 0
0.422 177 57.8 1.43 0.40 0.90 0 130 0
0.441 69.7 58.1 0.96 0.25 0.95 0 130 0
0.332 75.0 57.7 1.29 0.25 0.97 0 130 0
0.411 74.6 58.4 1.28 0.22 0.97 0 130 0
0.398 116 58.0 1.86 0.37 1.49 10 130 0
0.343 68.2 58.0 1.46 0.23 1.55 0 130 0
0.379 70.6 58.2 1.89 0.23 1.55 0 130 0
0.304 82.2 63.5 2.20 0.24 1.58 10 140 0
0.303 68.1 58.1 2.71 0.28 1.56 0 130 0
0.380 68.3 58.1 2.24 0.41 1.87 0 130 0
0.397 73.5 57.9 2.31 0.46 2.02 0 130 0
0.378 69.9 58.3 1.78 0.24 2.03 0 140 0
0.351 67.8 57.5 1.50 0.27 2.06 0 140 0
0.386 72.5 57.8 1.22 0.33 2.05 0 130 0
0.295 69.3 57.9 2.76 0.41 2.20 0 130 0
0.470 68.1 57.7 2.73 0.35 2.15 0 130 0
0.447 67.7 57.6 1.84 0.30 2.09 0 130 0
0.405 70.0 57.7 1.50 0.18 2.06 10 130 0
0.308 70.0 57.9 1.58 0.16 1.96 10 130 0
0.311 68.2 57.6 1.10 0.33 2.20 0 130 0
0.360 67.3 57.9 0.63 0.22 2.29 0 130 0
0.250 66.8 58.0 0.94 0.29 2.55 0 130 0
0.386 69.3 57.8 0.95 0.10 2.80 10 130 0
0.324 67.2 57.9 1.07 0.20 3.04 0 130 0
0.400 69.8 57.9 1.42 0.25 3.40 0 130 0
0.335 66.9 58.2 1.71 0.20 3.46 0 130 0
0.323 67.4 58.2 1.71 0.16 3.57 0 130 0
0.376 69.0 58.0 1.36 0.27 3.51 0 130 0
0.361 101 57.9 1.65 0.31 3.36 0 140 0
0.345 69.6 58.0 1.59 0.14 3.37 0 140 0
0.298 75.3 59.9 1.75 0.29 3.74 0 130 0
0.469 86.3 58.6 1.79 0.20 3.72 0 130 0
0.500 72.2 58.0 1.51 0.23 3.71 0 140 0
0.399 73.2 58.2 1.80 0.49 3.72 0 130 0
0.428 83.8 71.3 2.61 0.35 3.98 0 130 0
0.385 63.9 59.6 2.55 0.30 3.92 0 140 0
0.291 97.7 62.0 2.35 0.16 3.93 0 140 0
0.357 144 58.1 1.99 0.13 3.86 0 130 0
0.442 91.9 57.9 1.97 0.23 3.65 0 130 0
0.362 69.4 58.1 1.88 0.25 3.54 0 130 0
0.368 91.1 57.8 1.54 0.09 3.33 0 140 0
0.308 67.2 58.1 1.82 0.33 3.15 0 130 0
0.353 67.5 57.8 1.60 0.31 3.30 10 130 0
0.320 68.6 57.8 1.50 0.44 3.32 0 130 0
0.303 68.3 57.4 1.72 0.52 3.38 0 130 0
0.406 71.8 57.9 1.93 0.49 3.23 0 130 0
0.489 69.1 57.8 2.28 0.20 3.08 0 130 0
0.363 67.9 57.9 2.33 0.45 2.98 0 130 0
0.537 135 58.2 2.46 0.36 3.37 10 130 0
0.626 69.6 58.0 1.66 0.33 3.78 0 130 0
0.407 110 57.9 1.75 0.42 3.87 0 140 0
0.473 91.7 57.3 1.78 0.30 3.71 0 130 0
0.553 69.3 58.6 2.03 0.31 3.56 0 130 0
0.506 93.6 58.3 2.11 0.16 3.46 0 130 0
0.382 69.8 57.8 2.68 0.53 3.63 0 130 0
0.403 99.4 58.1 1.92 0.34 3.75 0 130 0
0.376 67.5 57.7 1.89 0.47 3.75 0 130 0
0.296 150 58.2 2.23 0.45 3.68 0 140 0
0.969 62.4 57.9 2.68 0.31 3.75 10 130 0
0.583 82.4 58.1 1.96 0.24 3.77 0 130 0
0.419 61.4 57.5 2.88 0.27 3.82 0 130 0
0.407 119 57.3 2.23 0.32 3.85 0 130 0
0.499 104 57.8 2.48 0.41 3.80 0 130 0
0.440 62.6 57.9 2.21 0.32 3.73 0 130 0
0.570 61.8 58.1 2.12 0.44 3.78 0 130 0
0.442 64.3 58.1 1.69 0.31 3.69 0 130 0
0.358 61.6 57.9 1.43 0.25 3.84 0 130 0
0.625 64.4 58.4 1.47 0.51 3.79 0 140 0
0.410 72.4 58.1 1.28 0.35 3.71 10 130 0
0.492 62.8 58.1 1.12 0.26 3.63 0 130 0
0.360 66.2 58.2 1.07 0.31 3.49 0 130 0
0.389 62.1 57.8 1.45 0.16 3.28 0 130 0
0.370 65.6 58.0 0.96 0.35 3.19 0 130 0
173 440 57.9 1.64 0.33 3.04 10 130 0
0.274 64.0 58.2 1.85 0.55 3.22 0 130 0
0.390 63.8 58.2 1.37 0.60 3.29 0 130 0
0.404 61.1 58.4 2.15 0.52 3.34 10 130 0
0.430 66.0 58.6 1.36 0.42 3.40 0 130 0
0.355 64.0 58.2 1.71 0.28 3.39 0 130 0
0.365 66.0 58.0 1.45 0.25 3.28 10 130 0
0.433 67.1 57.9 1.29 0.42 3.20 0 130 0
0.368 73.6 58.2 1.20 0.32 3.12 0 130 0
0.446 145 59.3 1.02 0.49 2.98 10 130 0
0.300 114 58.1 1.04 0.74 2.86 0 130 0
0.351 72.7 57.7 1.30 0.76 3.08 0 130 0
0.368 62.2 58.4 2.14 0.64 2.97 0 130 0
0.372 62.8 58.4 2.00 0.50 2.89 0 130 0
0.379 61.5 58.2 1.69 0.88 3.14 0 130 0
0.293 73.1 58.3 1.82 0.91 3.26 0 130 0
0.264 64.5 57.8 1.39 0.67 3.24 0 140 0
0.347 63.6 58.0 1.29 0.58 3.26 0 130 0
0.375 62.1 57.7 1.43 0.50 3.17 0 130 0
0.475 63.0 57.7 1.72 0.58 3.17 0 130 0
0.362 81.6 57.9 1.07 0.64 3.09 0 130 0
0.379 63.5 57.9 1.05 0.51 3.24 10 130 0
0.426 62.8 57.9 0.57 0.34 3.13 10 140 0
0.478 61.6 58.4 1.07 0.25 3.06 0 150 0
0.466 63.3 59.1 1.20 0.48 3.08 0 130 0
0.388 69.9 57.4 1.79 0.35 3.01 10 130 0
0.332 61.6 58.5 1.48 0.26 2.93 0 140 0
0.354 63.0 57.9 1.93 0.26 2.89 0 130 0
0.272 63.0 57.6 1.29 0.14 2.90 0 130 0
0.363 66.0 58.4 1.17 0.35 2.89 0 130 0
0.340 66.7 58.3 1.84 0.31 2.86 0 130 0
0.411 62.0 58.3 1.98 0.60 3.52 0 810 0
0.378 65.6 57.7 1.11 0.62 3.64 0 130 0
0.331 62.9 58.2 1.39 0.73 3.63 0 130 0
0.449 64.1 58.2 1.57 0.67 3.61 0 130 0
0.576 62.9 58.0 1.75 0.41 3.53 10 130 0
0.380 63.6 57.9 1.88 0.41 3.52 10 140 0
0.295 61.7 58.1 1.60 0.54 3.40 0 130 0
0.316 66.7 58.1 1.49 0.53 3.25 0 160 0
0.335 62.4 57.6 1.36 0.77 3.10 0 130 0
0.305 62.3 57.5 1.80 0.39 2.98 10 130 0
0.371 62.6 58.0 2.06 0.53 3.21 0 130 0
0.396 63.7 58.1 1.70 0.54 3.21 10 130 0
0.338 61.9 58.0 1.16 0.47 3.26 0 130 0
0.381 62.4 57.9 1.24 0.67 3.22 0 130 0
0.287 62.9 58.7 1.11 0.54 3.16 0 130 0
0.300 63.1 57.8 0.72 0.42 3.28 0 140 0
0.443 64.6 58.0 0.58 0.55 3.20 10 130 0
0.402 63.8 57.7 0.97 0.56 3.11 0 130 0
0.327 62.1 57.8 0.71 0.62 2.98 0 130 0
0.449 196 57.9 0.68 0.46 2.82 0 130 0
0.389 62.1 58.1 0.59 0.40 2.95 0 130 0
0.424 153 57.7 1.03 0.23 2.85 0 130 0
0.405 62.4 57.9 1.39 0.40 2.76 0 130 0
0.393 67.8 57.8 0.86 0.36 2.65 0 130 0
0.296 72.9 58.0 0.75 0.34 2.52 0 130 0
0.370 62.7 58.1 1.37 0.49 2.50 0 130 0
0.309 63.1 58.2 1.45 0.62 2.41 0 130 0
0.427 64.9 58.3 2.04 0.53 2.29 0 130 0
0.345 128 57.7 2.25 0.29 2.19 10 130 0
150 340 57.9 2.48 0.18 2.08 0 130 0
0.341 72.6 58.5 1.62 0.33 2.54 0 5570 0
0.431 62.5 58.1 1.30 0.43 2.47 0 130 0
0.363 66.1 57.7 1.69 0.43 2.50 0 130 0
0.381 73.0 58.5 1.45 0.21 2.55 0 130 0
0.332 68.6 57.8 1.06 0.26 2.67 0 130 0
0.314 71.2 57.7 1.06 0.54 2.70 0 130 0
0.289 68.0 58.1 1.01 0.39 2.64 10 130 0
0.355 68.3 61.6 1.06 0.28 2.52 0 130 0
0.454 67.4 58.1 2.25 0.61 2.41 0 130 0
0.398 69.5 57.9 2.27 0.42 2.27 0 130 0
0.441 143 58.3 1.86 0.40 2.46 0 330 0
0.442 80.6 57.8 1.86 0.48 2.38 0 130 0
0.375 81.4 58.0 1.52 0.38 2.33 0 130 0
0.379 83.8 54.8 2.00 0.39 2.27 0 120 0
0.298 120 54.9 1.82 0.28 2.22 0 130 0
0.446 66.7 54.5 1.82 0.28 2.48 0 120 0
0.353 142 54.7 1.90 0.42 2.58 0 120 0
0.404 68.1 54.7 1.68 0.44 2.64 0 130 0
0.306 75.9 54.9 1.35 0.60 2.70 0 130 0
0.463 69.1 55.1 1.60 0.59 2.68 0 120 0
0.441 69.6 56.7 2.21 0.73 2.85 0 300 0
0.337 135 56.7 2.01 0.57 2.79 0 130 0
0.408 65.7 56.5 1.58 0.40 2.69 0 130 0
0.371 67.9 56.2 1.23 0.55 2.73 0 130 0
0.332 66.8 56.3 1.29 0.63 2.69 0 140 0
0.373 84.0 56.5 1.25 0.47 2.69 0 120 0
0.526 81.1 56.1 0.94 0.32 2.66 0 120 0
0.383 79.8 56.4 0.87 0.48 2.63 0 130 0
0.314 80.3 56.9 1.64 0.56 2.56 0 130 0
0.383 82.1 58.1 1.43 0.79 2.42 0 130 0
0.340 82.9 56.4 1.15 0.71 2.62 0 120 0
0.347 80.3 56.3 1.53 0.53 2.60 0 130 0
0.399 82.0 56.5 1.33 0.30 2.59 0 130 0
0.389 82.1 56.0 1.53 0.15 2.67 0 120 0
0.399 84.9 55.9 1.35 0.14 2.80 0 130 0
0.381 137 56.3 0.83 0.34 2.98 0 150 0
0.262 80.8 56.3 0.78 0.28 3.09 10 130 0
0.402 92.4 56.5 0.99 0.24 3.15 0 130 0
0.400 82.8 56.4 0.68 0.17 3.14 0 130 0
0.379 70.8 56.9 0.62 0.14 2.98 0 130 0
0.390 65.7 56.6 1.24 0.44 3.12 0 130 0
0.314 69.1 56.3 1.18 0.49 2.98 0 130 0
0.341 67.2 56.6 1.88 0.41 2.90 0 120 0
0.408 75.1 56.1 1.77 0.49 2.89 10 120 0
0.383 70.6 56.0 1.55 0.38 2.74 0 130 0
0.390 69.8 56.4 1.75 0.29 2.81 0 130 0
0.427 67.9 56.7 1.53 0.18 2.72 0 130 0
0.435 92.0 56.2 1.71 0.48 2.61 0 120 0
0.389 70.6 56.7 1.73 0.36 2.49 10 130 0
0.405 106 56.9 1.47 0.30 2.42 0 130 0
0.371 87.2 56.5 1.61 0.18 2.75 0 130 0
0.387 122 56.3 1.08 0.35 2.62 0 130 0
0.387 70.1 56.5 0.97 0.23 2.51 0 120 0
0.521 65.5 56.5 0.54 0.26 2.43 0 120 0
0.342 65.7 56.2 0.64 0.24 2.33 0 130 0
0.326 68.3 56.4 0.65 0.16 2.40 0 120 0
0.339 67.6 56.4 1.26 0.17 2.36 0 130 0
0.445 94.7 55.9 1.32 0.06 2.28 0 120 0
0.306 68.6 56.5 1.13 0.09 2.15 0 120 0
0.314 136 262 1.09 0.34 2.18 10 190 0
0.396 82.9 87.2 1.34 0.56 2.41 0 160 0
0.414 85.6 81.4 1.81 0.28 2.46 0 190 0
0.370 81.2 102 1.52 0.18 2.47 0 150 0
0.403 87.6 86.2 1.55 0.36 2.53 0 210 0
0.400 67.6 92.4 1.23 0.35 2.60 10 170 0
0.357 66.1 95.1 0.91 0.51 3.03 0 140 0
0.382 65.3 56.2 0.88 0.28 3.00 0 150 0
0.349 65.9 58.5 0.80 0.43 2.92 0 130 0
0.389 67.0 57.5 0.71 0.37 2.82 0 160 0
0.330 67.1 72.9 0.68 0.23 2.83 0 9999999999 2
0.385 66.8 55.9 1.35 0.13 2.96 0 130 0
0.457 66.3 57.0 1.02 0.20 2.98 0 130 0
0.438 67.2 57.1 1.43 0.16 2.85 0 130 0
0.385 68.0 56.7 1.96 0.39 2.70 0 120 0
0.344 66.8 56.8 3.80 0.55 2.66 0 120 0
0.386 69.6 56.9 2.06 0.37 2.57 0 130 0
0.335 72.9 56.6 1.85 0.60 2.69 0 1860 0
0.415 68.0 56.7 1.56 0.72 2.64 0 130 0
0.382 67.0 56.4 1.55 0.68 2.61 0 130 0
0.455 68.8 56.8 2.67 0.41 2.65 0 130 0
0.355 66.2 56.7 2.07 0.39 2.60 10 120 0
0.409 67.4 56.8 1.51 0.49 2.57 0 130 0
0.378 68.0 56.7 1.61 0.28 2.45 0 130 0
0.403 73.6 56.7 1.57 0.33 2.34 10 130 0
0.356 71.4 56.2 1.28 0.25 2.29 0 130 0
0.500 66.6 56.4 0.97 0.73 2.35 10 120 0
0.390 66.7 56.1 1.97 0.64 2.54 0 120 0
0.347 66.6 56.7 1.85 0.32 2.48 0 130 0
0.321 67.6 56.8 1.58 0.60 2.45 0 130 0
0.316 66.1 56.4 1.67 0.39 2.37 0 130 0
0.981 66.5 57.2 1.67 0.28 2.35 0 130 0
0.528 72.0 56.4 1.93 0.34 2.47 0 130 0
0.826 9999999999 56.8 1.67 0.31 2.39 0 130 1
0.301 72.1 56.5 2.18 0.34 2.42 0 130 0
0.341 68.9 56.9 1.81 0.39 2.63 0 130 0
0.372 66.4 56.6 1.91 0.53 2.68 0 130 0
0.338 68.2 56.8 1.58 0.67 2.92 0 130 0
0.401 66.8 56.7 1.52 0.41 2.87 0 130 0
0.380 66.4 56.3 1.51 0.19 2.78 0 130 0
0.386 67.7 56.5 2.15 0.38 2.65 0 130 0
0.345 81.3 56.5 1.91 0.38 2.68 0 130 0
0.308 67.8 57.5 1.54 0.39 2.65 0 130 0
0.330 75.0 57.5 1.35 0.26 2.59 0 130 0
0.387 74.5 56.6 1.46 0.31 2.53 0 130 0
0.336 70.1 56.5 1.54 0.30 2.42 0 120 0
0.291 69.3 57.0 0.97 0.22 2.33 0 130 0
0.386 72.6 56.7 1.62 0.59 2.48 0 130 0
0.311 70.9 56.5 1.83 0.57 2.40 0 130 0
0.365 72.6 57.1 2.77 0.42 2.41 0 130 0
0.334 71.3 56.5 2.59 0.47 2.39 0 120 0
0.399 71.3 56.2 2.14 0.52 2.26 0 130 0
0.353 72.1 56.5 2.08 0.38 2.54 0 130 0
0.328 71.4 56.6 2.32 0.58 2.70 10 130 0
0.292 94.5 56.6 1.49 0.47 2.69 0 130 0
0.479 68.8 56.8 0.85 0.22 2.66 0 120 0
0.446 65.3 56.6 1.05 0.78 2.60 10 130 0
0.428 65.3 56.9 1.55 0.56 2.83 0 130 0
0.302 68.0 56.6 1.66 0.38 2.81 0 130 0
0.429 76.6 56.2 1.21 0.31 2.76 0 130 0
0.325 66.4 56.6 1.06 0.34 2.88 0 130 0
0.319 65.9 56.7 1.04 0.42 2.78 0 130 0
0.397 79.7 56.7 0.80 0.19 2.79 10 140 0
0.341 66.3 56.2 0.88 0.24 2.78 0 120 0
0.425 80.7 56.7 0.67 0.39 2.74 10 130 0
0.370 66.9 9999999999 0.92 0.53 2.62 0 130 2
0.311 64.9 56.3 1.59 0.58 2.54 10 120 0
0.277 83.3 56.4 1.42 0.41 2.59 0 130 0
0.358 65.2 56.2 1.21 0.40 2.58 10 130 0
0.542 65.4 56.3 1.13 0.29 2.44 0 130 0
0.349 72.7 56.3 0.86 0.21 2.35 0 130 0
0.451 65.4 56.6 0.87 0.27 2.24 0 130 0
0.301 64.8 56.5 0.67 0.24 2.25 10 120 0
0.405 81.9 56.6 0.86 0.40 2.27 0 120 0
0.319 67.9 56.4 0.78 0.18 2.15 10 130 0
0.384 68.8 56.3 0.76 0.14 2.06 0 130 0
0.338 87.6 56.7 0.71 0.33 1.99 0 130 0
0.487 66.2 56.9 1.46 0.43 2.32 0 130 0
0.355 67.3 57.0 1.06 0.19 2.52 0 130 0
