"Ping Local" "Ping LocalApp-CorpApp" "Ping LocalApp-CorpDB" "Load Average LocalApp" "Load Average LocalDB" "Load Average CORPApp" "TNS ping LocalApp-LocalDB" "TNS ping LocalApp-CorpDB" "Class"
0.425 62.9 52.9 0.58 0.26 0.43 0 120 0
0.504 63.4 53.1 0.14 0.26 0.65 0 120 0
0.546 64.0 52.8 0.11 0.38 0.82 0 120 0
0.337 63.6 53.1 0.15 0.18 0.82 0 120 0
0.363 64.3 52.8 1.48 0.31 0.32 0 120 0
0.406 62.9 53.1 0.15 0.09 0.31 0 120 0
0.507 63.4 53.6 0.43 0.00 0.54 0 120 0
0.479 63.2 53.0 0.03 0.05 0.57 0 120 0
0.458 64.1 53.5 0.15 0.02 0.59 0 120 0
0.414 63.1 53.2 0.25 0.00 0.49 10 120 0
0.411 63.4 53.3 0.38 0.06 0.49 10 120 0
0.489 64.4 53.4 0.01 0.11 0.40 0 120 0
0.381 101 54.8 0.03 0.00 0.84 0 120 0
0.349 63.4 52.7 0.00 0.00 1.70 0 9999999999 2
0.457 64.3 55.9 0.07 0.02 0.08 10 9999999999 2
0.361 64.7 56.2 0.00 0.06 0.00 9999999999 9999999999 2
2.22 65.4 56.3 0.00 0.00 0.00 9999999999 9999999999 2
0.377 64.3 55.9 0.00 0.00 0.08 9999999999 9999999999 2
1.50 61.5 56.0 0.09 0.00 0.00 9999999999 9999999999 2
0.376 61.3 56.1 0.00 0.01 0.00 9999999999 9999999999 2
2.32 61.6 56.2 0.17 0.05 0.00 9999999999 9999999999 2
2.76 61.3 93.4 0.06 0.00 0.00 9999999999 9999999999 2
0.597 61.5 56.1 0.00 0.00 0.00 9999999999 9999999999 2
2.27 61.5 56.1 0.08 0.01 0.08 9999999999 9999999999 2
0.502 61.2 56.3 0.00 0.01 0.00 9999999999 9999999999 2
1.49 60.8 56.0 0.02 0.01 0.09 9999999999 9999999999 2
0.551 60.9 56.4 0.00 0.03 0.00 9999999999 9999999999 2
1.75 60.9 56.3 0.03 0.00 0.08 9999999999 9999999999 2
0.591 61.0 56.4 0.00 0.17 0.00 9999999999 9999999999 2
2.18 61.5 55.9 0.05 0.12 0.00 9999999999 9999999999 2
0.459 61.0 56.0 0.00 0.14 0.00 9999999999 9999999999 2
1.94 61.1 56.2 0.04 0.00 0.00 9999999999 9999999999 2
0.412 61.3 56.2 0.00 0.01 0.00 9999999999 9999999999 2
2.47 61.6 58.5 0.07 0.04 0.35 9999999999 9999999999 2
0.442 61.2 56.1 0.00 0.01 0.05 9999999999 9999999999 2
1.70 65.4 56.2 0.08 0.00 0.08 9999999999 130 3
0.352 64.2 56.1 0.00 0.00 0.00 9999999999 120 3
2.56 65.2 55.8 0.06 0.00 0.00 9999999999 130 3
0.367 64.4 56.0 0.00 3.68 1.25 9999999999 120 3
0.403 64.1 56.2 0.09 0.28 0.09 0 130 0
0.520 64.4 56.4 0.00 0.00 0.00 10 130 0
0.463 64.4 56.1 0.00 0.02 0.00 0 120 0
0.482 64.3 56.6 0.00 0.00 0.06 0 120 0
2.13 64.4 56.1 0.01 0.00 0.03 0 130 0
0.521 64.3 55.7 0.00 0.00 0.01 0 130 0
0.517 64.6 56.4 0.05 0.00 0.04 0 120 0
0.436 65.3 56.2 0.00 0.00 0.09 0 120 0
0.375 65.3 56.3 0.03 0.03 0.10 0 130 0
0.628 64.1 55.7 0.00 0.00 0.00 10 130 0
0.384 65.0 56.0 0.02 0.00 0.02 0 130 0
0.350 65.6 55.7 0.00 0.01 0.01 0 120 0
0.456 65.7 56.1 0.01 0.00 0.02 0 120 0
0.452 68.3 55.9 0.00 0.00 0.02 0 130 0
0.529 65.2 58.6 0.04 0.00 0.10 0 130 0
0.458 66.1 56.2 0.00 0.00 0.22 0 130 0
0.478 67.3 56.2 0.01 0.00 0.21 0 130 0
0.409 64.1 56.1 0.00 0.02 0.25 0 130 0
0.479 65.4 56.3 0.08 0.07 0.09 0 120 0
0.480 64.5 56.0 0.00 0.08 0.12 0 130 0
0.633 64.2 55.9 0.01 0.04 0.37 0 130 0
0.368 64.4 56.0 0.00 0.04 0.12 0 130 0
0.360 64.1 57.8 0.05 0.04 0.21 0 130 0
0.568 63.9 55.6 0.00 0.16 0.22 0 130 0
0.429 64.6 57.8 0.09 0.11 0.27 0 130 0
0.487 64.2 55.9 0.00 0.01 0.32 0 130 0
0.392 64.4 56.1 0.03 0.11 0.23 0 120 0
0.530 64.4 56.0 0.00 0.00 0.31 0 120 0
0.496 64.2 56.4 0.03 0.06 0.45 0 120 0
0.551 64.7 55.8 0.00 0.12 0.40 0 130 0
0.353 64.6 56.3 0.09 0.01 0.08 120 130 0
0.444 64.5 56.1 0.00 0.04 0.00 320 130 0
0.479 64.8 56.4 0.05 0.15 0.08 10 130 0
0.401 64.2 55.8 0.02 0.00 0.17 0 130 0
0.417 67.8 56.1 0.05 0.08 0.00 0 130 0
0.629 67.1 55.8 0.00 0.00 0.00 0 120 0
0.389 67.4 56.3 0.02 0.06 0.01 0 130 0
0.508 67.5 55.8 0.00 0.07 0.09 0 130 0
0.381 67.5 55.9 0.02 0.03 0.03 60 130 0
0.421 68.0 56.2 0.00 0.35 0.00 0 120 0
0.476 67.4 55.0 0.02 0.02 0.11 130 130 0
0.575 67.1 54.7 0.00 0.12 0.41 0 130 0
0.491 68.1 54.6 0.11 0.45 0.27 0 120 0
0.443 67.1 54.9 0.00 0.22 0.04 0 120 0
0.569 67.0 57.1 0.02 0.33 0.07 0 120 0
0.437 67.2 54.8 0.74 0.14 0.32 0 130 0
0.446 68.3 54.9 0.39 0.13 0.05 10 120 0
0.467 67.6 54.8 0.15 0.07 0.02 0 120 0
0.412 67.3 55.1 0.54 0.11 0.27 0 120 0
0.498 68.1 55.0 0.73 0.20 0.06 10 120 0
0.461 68.1 55.3 0.03 0.11 0.18 0 130 0
0.341 67.6 55.0 0.15 0.14 0.12 10 120 0
0.430 67.2 55.1 0.37 0.13 0.12 10 120 0
0.541 67.0 54.7 0.34 0.19 0.11 0 130 0
0.450 67.0 85.5 1.96 0.50 0.22 0 200 0
0.481 67.8 61.3 1.14 0.17 0.06 0 160 0
0.379 67.1 54.8 1.89 0.06 0.28 0 130 0
0.318 67.4 54.9 1.01 0.18 0.10 0 120 0
0.461 67.2 55.3 1.20 0.40 0.30 0 130 0
0.582 66.7 54.9 1.45 0.33 0.07 0 120 0
0.405 67.5 55.0 1.33 0.60 0.71 10 120 0
0.478 66.8 54.8 1.65 0.29 0.27 10 120 0
0.440 67.2 54.9 1.72 0.17 0.31 0 130 0
0.468 67.0 55.0 0.23 0.09 0.12 0 130 0
0.412 66.9 57.9 0.62 0.15 0.23 0 120 0
0.380 66.7 55.1 1.04 0.12 0.23 150 120 0
0.457 67.1 54.9 1.07 0.35 0.92 0 120 0
0.285 71.9 55.2 0.15 0.16 0.38 0 130 0
0.379 68.2 55.1 0.37 0.30 0.63 0 130 0
0.465 67.1 55.0 0.56 0.18 1.18 0 130 0
0.486 68.2 57.5 1.17 0.62 0.75 0 130 0
0.552 70.8 54.9 1.49 0.25 0.24 0 130 0
0.514 68.5 56.3 0.93 0.17 2.15 0 130 0
0.359 80.5 55.0 0.85 0.15 7.48 10 130 0
0.391 68.8 54.8 2.01 0.51 3.69 0 120 0
0.339 105 54.6 1.43 0.56 0.73 0 130 0
0.332 68.0 54.5 1.55 0.50 0.44 0 120 0
0.346 70.8 54.9 2.54 0.09 0.25 0 120 0
0.357 67.6 57.9 1.90 0.38 1.07 0 120 0
0.396 90.5 54.9 2.28 0.20 1.30 0 120 0
0.391 69.5 54.7 2.65 0.66 1.45 10 120 0
0.365 70.6 54.7 2.74 0.36 5.72 0 120 0
0.446 127 56.8 2.21 0.81 5.63 110 120 0
0.356 70.5 54.7 1.32 0.59 1.63 0 120 0
0.373 199 54.6 2.57 0.48 1.45 10 120 0
0.384 156 54.7 0.83 0.30 1.35 0 120 0
0.507 142 54.9 1.63 0.56 0.52 0 130 0
0.368 65.2 54.9 1.87 0.53 1.08 0 130 0
0.316 90.2 54.8 2.56 0.63 0.95 0 120 0
0.403 62.0 54.7 1.63 0.51 1.32 10 120 0
0.321 60.8 55.2 2.24 0.97 1.42 0 130 0
0.491 59.4 55.1 1.12 0.63 1.04 0 130 0
0.416 60.1 55.2 3.03 0.11 1.55 10 120 0
0.354 59.7 55.2 1.86 0.21 2.13 0 120 0
0.400 59.7 54.9 1.33 0.14 2.33 0 130 0
0.485 58.4 54.7 1.27 0.43 1.68 0 120 0
